pair,w_alt,sample,alpha_star,lam_at_star,se_lam_at_star,beta_at_star,se_beta_at_star,logll_at_star,logll_geo,logll_bank,logll_improvement
Pair A,W_bank,Full,0.2,0.637971973503476,0.027709525689617924,0.022921565324093965,0.0056899313509781325,-50735.46097609418,-50795.929210622446,-50796.9027417973,60.468234528263565
Pair A,W_bank,Border,0.35000000000000003,0.3681945971776622,0.03703029208422353,0.03220619808704549,0.008106978597467205,-11254.85022142603,-11261.375747918566,-11267.811446573707,6.525526492536301
Pair B,W_bank_count,Full,0.2,0.6510262608891335,0.026002751930071222,0.025434996419481853,0.005710759733687663,-50731.86740942056,-50795.929210622446,-50792.63904132632,60.77163190575811
Pair B,W_bank_count,Border,0.35000000000000003,0.37337481935154493,0.036238793757644064,0.033411064149571595,0.008108109131666293,-11255.242820032756,-11261.375747918566,-11268.702911904003,6.132927885810204
Pair C,W_bank_binary,Full,0.30000000000000004,0.55648065018167,0.029400658775236864,0.02767521331406437,0.005047820144730316,-50776.568682433885,-50795.929210622446,-50887.88940580655,19.360528188561148
Pair C,W_bank_binary,Border,0.9500000000000001,0.17605266895446592,0.02158191890410809,0.04070388417985025,0.007462011229940199,-11261.375059962655,-11261.375747918566,-11290.504081467796,0.0006879559114167932
Pair D,W_bank_knn4,Full,0.35000000000000003,0.2957183254265521,0.01324899186943163,0.0337033496079373,0.005525060730268403,-50736.76385908272,-50795.929210622446,-50768.709888098754,31.946029016035027
Pair D,W_bank_knn4,Border,0.25,0.25665731860004604,0.021999038030930507,0.04073097283051109,0.008055314118709378,-11237.382101174695,-11261.375747918566,-11239.9047454528,2.522644278105872
Pair E,W_bank_nonGeo,Full,0.30000000000000004,0.5739013784617615,0.027994384637173676,0.022450061785510372,0.005593229689782739,-50221.038801768234,-50262.25603101983,-50344.0734891402,41.21722925159702
Pair E,W_bank_nonGeo,Border,0.4,0.420517170372371,0.04046304174214627,0.02484693094228333,0.008140687777527503,-11113.60114641252,-11121.051888597234,-11146.188386370386,7.4507421847138176
Pair F,W_bank_interstate,Full,0.6000000000000001,0.2834913586998922,0.01758271643013145,0.026333224501204094,0.004797018676864416,-48843.64178901836,-48845.582270245104,-48963.927792926544,1.94048122674576
Pair F,W_bank_interstate,Border,0.4,0.3899012197641129,0.03886263182564762,0.024038225598070156,0.0074067170330863255,-10912.764606510047,-10919.190381428356,-10938.141140851008,6.425774918308889
Pair G,W_bank_intrastate,Full,0.30000000000000004,0.3602418804546588,0.016510745362600183,0.03795823537074028,0.006199053284999846,-50618.739726808395,-50683.2618691661,-50655.02399605981,36.284269251416845
Pair G,W_bank_intrastate,Border,0.8,0.1922858366456841,0.02319313431767147,0.0414777783183698,0.007692027032499772,-11260.791740734068,-11261.375747918566,-11281.583944304897,0.5840071844977501
