sample,panel,panel_label,outcome_key,outcome,beta,se,tval,pval,test_vs_A_pval,N,n_counties,n_states,R2_within
Full,A,OOS with local branches,nloans,Dl_nloans_b_oos_lb,0.1611329134422183,0.05983833470971452,2.6928041066633996,0.007117082926550777,,4514,767,49,0.1596055611285635
Full,A,OOS with local branches,vloans,Dl_vloans_b_oos_lb,0.1667680271383939,0.06057240760494208,2.7532012302708497,0.005930151423937602,,4514,767,49,0.1451962020707258
Full,A,OOS with local branches,nden,Dl_nden_b_oos_lb,0.06942260171655927,0.05848257740284227,1.1870646746356517,0.23528625371165335,,4108,738,49,0.2216185943250537
Full,A,OOS with local branches,lir,Dl_lir_b_oos_lb,0.16506401030458215,0.06013217757549414,2.7450196709964354,0.00607973545624918,,4513,767,49,0.14089489763538143
Full,A,OOS with local branches,nsold,Dl_nsold_b_oos_lb,0.055352550480772554,0.08071029745807763,0.6858176989066811,0.4928883394457644,,3356,700,47,0.2580203358378057
Full,A,OOS with local branches,nbra,Dl_nbra_oos_lb,0.07692346596813592,0.029284647583554622,2.626750612199063,0.008653543982320988,,4783,790,49,0.10844394582753025
Full,B,OOS without local branches,nloans,Dl_nloans_b_oos,0.01583864839524624,0.011119273124054615,1.424431994658183,0.15435631949498396,0.01580145571479447,9988,1018,50,0.16016938277673443
Full,B,OOS without local branches,vloans,Dl_vloans_b_oos,0.014522655902058207,0.011174011895825056,1.299681442748804,0.1937436429267403,0.010556307399660587,9988,1018,50,0.12291946875491966
Full,B,OOS without local branches,nden,Dl_nden_b_oos,0.012412530042962723,0.023694185842448017,0.5238639607833976,0.6003862233460631,0.37043961268350345,9926,1018,50,0.47555354988806564
Full,B,OOS without local branches,lir,Dl_lir_b_oos,0.014175510890668291,0.011424709870880855,1.2407764442927904,0.21472086807671187,0.010767190935924664,9987,1018,50,0.1126479548164473
Full,B,OOS without local branches,nsold,Dl_nsold_b_oos,0.01000529580712185,0.013825242851887996,0.7236976532210073,0.4692707539041674,0.5636234553536494,9771,1017,50,0.18820010663526132
Full,C,In-state banks,nloans,Dl_nloans_b_is,0.0034214536556564177,0.01014752952818491,0.33717109629031194,0.7359959612468645,0.01269323333470934,9841,1017,50,0.05589404332090231
Full,C,In-state banks,vloans,Dl_vloans_b_is,-0.0026361677655826303,0.011129106570514415,-0.2368714639292721,0.8127620189129674,0.006646137768828736,9841,1017,50,0.07516332580866703
Full,C,In-state banks,nden,Dl_nden_b_is,0.004917957081896453,0.015056887303369005,0.3266250841099177,0.7439596897297811,0.30569193082249324,9339,1005,50,0.10594052420105571
Full,C,In-state banks,lir,Dl_lir_b_is,-0.0028833115562891184,0.011280502751336238,-0.25560133443055755,0.7982646590064895,0.006907029108060525,9840,1017,50,0.08119325537132016
Full,C,In-state banks,nsold,Dl_nsold_b_is,-0.025179549493220345,0.01924079965437741,-1.3086540032389886,0.19068847977831904,0.3563661185092737,9175,1006,50,0.11901913130855568
Full,C,In-state banks,nbra,Dl_nbra_is,0.0012023162302488167,0.006610749746206386,0.18187290041326587,0.8556870673644101,0.011893267107848764,9019,978,50,0.04716242769587664
Contig,A,OOS with local branches,nloans,Dl_nloans_b_oos_lb,0.16220710618600487,0.08209916729387998,1.9757460584876905,0.04843224154250558,,1348,225,32,0.174584047551276
Contig,A,OOS with local branches,vloans,Dl_vloans_b_oos_lb,0.18596761753195346,0.08881703221213076,2.09382832211493,0.03650291743375034,,1348,225,32,0.15013222680566884
Contig,A,OOS with local branches,nden,Dl_nden_b_oos_lb,0.07079883535249722,0.08685691457086846,0.8151203125541708,0.4152060390837058,,1192,215,33,0.22862017124098988
Contig,A,OOS with local branches,lir,Dl_lir_b_oos_lb,0.1868107944682815,0.08790204516698154,2.1252155636812513,0.033790218017929696,,1348,225,32,0.14892736419208397
Contig,A,OOS with local branches,nsold,Dl_nsold_b_oos_lb,0.11785539185841834,0.1367827836953079,0.8616244579504135,0.3891979350470567,,897,199,31,0.24977928208155875
